l_name,l_team,l_pos,l_gp,l_points,l_owners,l_proj,l_actual,l_passyd,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_touchdown,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_owners18,l_actual18,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_2ptpg18,l_fumblepg18,l_touchdown18,l_runnerQB18,l_pointspg17,l_passydpg17,l_passtdpg17,l_passintpg17,l_rushydpg17,l_rushtdpg17,l_rush1stpg17,l_2ptpg17,l_fumblepg17,l_touchdown17,l_runnerQB17
Justice Hill,Bal,RB,1,5.60,32%,311,234,0,0,0,27,0,2,0,0,0,0,0,5.60,7.67,4.80,6.80,5.30,4.10,2.10,-,,,,,,,,,,,,,,,,,,,,,,,,
Kenyan Drake,Mia,RB,1,5.20,90%,126,240,0,0,0,12,0,0,2,15,0,1,0,5.20,9.83,11.07,12.33,0,15.50,8.57,0,,,,,,,,,,,,,,,,,,,,,,,,
Alex Armah,Car,RB,1,5.10,0%,612,243,0,0,0,1,1,1,0,0,0,0,1,5.10,0,1.53,0,1.27,0.40,-,0,,,,,,,,,,,,,,,,,,,,,,,,
Devonta Freeman,Atl,RB,1,4.70,99%,59,252,0,0,0,19,0,1,3,12,0,0,0,4.70,10.00,17.27,20.60,21.67,37.80,4.30,17.10,,,,,,,,,,,,,,,,,,,,,,,,
Miles Sanders,Phi,RB,1,4.63,90%,195,257,0,0,0,25,0,1,1,2,0,0,0,4.63,13.60,19.57,16.90,14.17,20.83,9.53,24.73,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Anderson,Det,RB,1,4.50,13%,221,262,0,0,0,35,0,1,0,0,0,0,0,4.50,0.80,0,0,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Sony Michel,NE,RB,1,4.40,97%,113,265,0,0,0,14,0,3,0,0,0,0,0,4.40,17.30,6.10,8.30,24.23,17.40,23.67,12.40,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Bolden,NE,RB,1,4.20,0%,641,267,0,0,0,7,0,0,0,0,0,0,0,4.20,0,5.20,9.70,13.23,15.57,11.40,4.20,,,,,,,,,,,,,,,,,,,,,,,,
Dion Lewis,Ten,RB,1,4.10,45%,140,269,0,0,0,7,0,0,3,6,0,0,0,4.10,3.23,3.77,6.87,5.37,5.23,0.20,1.13,,,,,,,,,,,,,,,,,,,,,,,,
Jamaal Williams,GB,RB,1,4.00,9%,233,270,0,0,0,0,0,0,2,15,0,1,0,4.00,17.67,13.70,1.00,0,30.43,15.23,22.13,,,,,,,,,,,,,,,,,,,,,,,,
Rashaad Penny,Sea,RB,1,3.90,77%,151,277,0,0,0,18,0,0,0,0,0,0,0,3.90,15.70,0,0,6.87,0,0,8.50,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Ervin,Jax,RB,1,3.80,0%,479,281,0,0,0,0,0,0,0,0,0,0,0,3.80,2.60,0,0,0,0,0,5.20,,,,,,,,,,,,,,,,,,,,,,,,
J.D. McKissic,Det,RB,1,3.60,0%,357,282,0,0,0,0,0,0,2,24,0,0,0,3.60,0.20,5.40,5.73,-,2.87,8.97,3.03,,,,,,,,,,,,,,,,,,,,,,,,
Joe Mixon,Cin,RB,1,3.47,100%,41,286,0,0,0,10,0,0,2,7,0,0,0,3.47,7.37,23.27,13.27,16.37,5.93,10.33,25.33,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Sherman,KC,RB,1,3.00,0%,451,295,0,0,0,0,0,0,1,15,0,1,0,3.00,0,0,0,1.20,0,2.70,0,,,,,,,,,,,,,,,,,,,,,,,,
Evan Engram,NYG,TE,1,34.73,99%,97,8,0,0,0,0,0,0,11,116,1,8,1,34.73,11.2,25.53,9.60,11.30,0,1.40,16.67,,,,,,,,,,,,,,,,,,,,,,,,
Delanie Walker,Ten,TE,1,29.67,85%,147,20,0,0,0,0,0,0,5,55,2,5,4,29.67,8.60,14.27,1.27,1.67,6.87,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Mark Andrews,Bal,TE,1,29.20,79%,178,24,0,0,0,0,0,0,8,108,1,6,1,29.20,29.47,5.00,16.07,10.00,14.60,5.60,-,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Hockenson,Det,TE,1,26.73,52%,234,33,0,0,0,0,0,0,6,131,1,4,1,26.73,1.47,1.07,15.80,-,6.40,7.13,3.40,,,,,,,,,,,,,,,,,,,,,,,,
David Njoku,Cle,TE,1,17.47,95%,134,80,0,0,0,0,0,0,4,37,1,3,1,17.47,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Austin Hooper,Atl,TE,1,17.13,87%,146,85,0,0,0,0,0,0,9,77,0,3,0,17.13,8.27,30.40,22.67,14.73,29.80,18.07,22.23,,,,,,,,,,,,,,,,,,,,,,,,
Vernon Davis,Was,TE,1,16.93,2%,174,88,0,0,0,0,0,0,4,59,1,1,1,16.93,5.93,6.00,1.33,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle,SF,TE,1,15.60,100%,62,97,0,0,0,0,0,0,8,54,0,4,0,15.60,8.60,12.80,-,25.47,18.87,8.53,16.73,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Higbee,LAR,TE,1,15.33,0%,313,101,0,0,0,0,0,0,4,20,1,2,1,15.33,4.40,0,9.73,9.13,4.67,1.53,1.53,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Graham,GB,TE,1,15.00,48%,179,106,0,0,0,0,0,0,3,30,1,2,1,15.00,0,0,22.07,7.73,4.13,20.33,5.33,,,,,,,,,,,,,,,,,,,,,,,,
Darren Waller,Oak,TE,1,14.67,42%,237,117,0,0,0,0,0,0,7,70,0,3,0,14.67,13.20,29.63,13.53,7.60,- ,38.40,11.73,,,,,,,,,,,,,,,,,,,,,,,,
Blake Jarwin,Dal,TE,1,14.60,1%,280,118,0,0,0,0,0,0,3,39,1,1,1,14.60,3.47,1.20,7.27,0,3.40,10.07,-,,,,,,,,,,,,,,,,,,,,,,,,
Jason Witten,Dal,TE,1,13.00,11%,258,133,0,0,0,0,0,0,3,15,1,1,1,13.00,15.67,8.60,8.33,6.93,10.80,9.20,- ,,,,,,,,,,,,,,,,,,,,,,,,
