l_name,l_team,l_pos,l_proj,l_actual,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_ppgcurrent,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_touchdown18,l_runnerQB18,l_pointspg17,l_passydpg17,l_passtdpg17,l_passintpg17,l_rushydpg17,l_rushtdpg17,l_rush1stpg17,l_2ptpg17,l_fumblepg17,l_touchdown17,l_runnerQB17,l_receptspg18,l_recydspg18,l_rectdpg18,l_rec1stpg18,l_ppr18
Michael Thomas,NO,WR,7,48,24.2,19.93,20.6,18.33,48.13,17.93,24.73,33.57,25.9275,22.604375,0.0,0.0,0.0,11.1428571428571,0.0,0.428571428571429,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.428571428571429,2.71428571428571,0.0,0.142857142857143,0.183673469387755
Odell Beckham Jr.,Cle,WR,20,114,14.73,28.73,12.73,4.33,5.5,16.73,13.7916666666667,10.47,13.3764583333333,22.1891666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,,0.0,0.0,0.0,,,,,,,0.0,2.5,30.75,0.25,1.0,6.3
Adam Thielen,Min,WR,27,96,15.87,12.0,21.77,2.4,38.67,20.8,11.67,0.0,15.3975,22.158125,0.0,0.0,0.0,27.4,0.0,1.2,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,1.8,11.6,0.0,0.6,3.2
Julian Edelman,NE,WR,34,69,18.61,8.5,24.13,6.0,28.33,21.53,17.03,32.9,19.62875,21.2075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,1.71428571428571,21.8571428571429,0.0,1.0,2.93877551020407
Travis Kelce,KC,TE,38,161,10.87,28.13,17.93,18.67,12.67,10.87,11.93,20.2,16.40875,21.129375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,6.25,94.5,0.0,5.0,39.06
Joe Mixon,Cin,RB,41,286,3.47,7.37,23.27,13.27,16.37,5.93,10.33,25.33,13.1675,20.9664285714286,0.0,0.0,0.0,0.571428571428571,0.0,0.0,0.326530612244897,0.0,,0.0,0.0,0.0,,,,,,,0.0,7.28571428571429,81.7142857142857,0.571428571428571,3.57142857142857,53.0816326530613
JuJu Smith-Schuster,Pit,WR,11,104,15.2,14.6,17.4,4.0,21.0,1.47,12.28,23.87,13.73,20.773125,0.0,0.0,0.0,25.6666666666667,0.333333333333333,1.66666666666667,0.111111111111111,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.166666666666667,1.66666666666667,0.0,0.0,0.027777777777778
Zach Ertz,Phi,TE,56,150,11.6,16.8,11.27,16.33,18.8,7.6,6.53,4.33,11.6575,20.220625,0.0,0.0,0.0,0.0,0.0,0.0,0.183673469387755,0.0,,0.0,0.0,0.0,,,,,,,0.0,2.57142857142857,30.5714285714286,0.428571428571429,1.85714285714286,6.61224489795918
Mike Evans,TB,WR,21,233,5.87,11.07,51.67,20.93,0.0,22.4,18.6566666666667,48.2,22.3495833333333,20.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0204081632653062,0.0,,0.0,0.0,0.0,,,,,,,0.0,1.71428571428571,17.2857142857143,0.142857142857143,1.0,2.93877551020407
Stefon Diggs,Min,WR,61,237,5.47,11.27,5.0,15.2,7.93,49.93,22.53,18.53,16.9825,20.1513333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,2.16666666666667,29.3333333333333,0.0,1.5,4.69444444444446
James White,NE,RB,73,100,15.33,15.27,0.0,0.0,16.67,16.97,12.93,10.4,10.94625,19.723125,0.0,0.0,0.0,102.142857142857,0.142857142857143,4.57142857142857,0.0204081632653062,0.0,,0.0,0.0,0.0,,,,,,,0.0,4.0,29.0,0.0,1.85714285714286,16.0
Tyler Lockett,Sea,WR,23,138,12.93,20.27,43.17,11.2,20.9,16.4,16.77,19.77,20.17625,19.614375,0.0,0.0,0.0,-0.166666666666667,0.166666666666667,0.166666666666667,0.0277777777777779,0.0,,0.0,0.0,0.0,,,,,,,0.0,2.66666666666667,21.6666666666667,0.0,0.5,7.11111111111113
Cooper Kupp,LAR,WR,128,132,13.07,17.6,39.73,28.87,30.8,5.13,11.33,36.67,22.9,19.57875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,1.16666666666667,10.1666666666667,0.0,0.666666666666667,1.36111111111112
Robert Woods,LAR,WR,63,70,18.27,6.1,10.47,33.93,10.2,6.6,14.93,6.0,13.3125,19.373125,0.0,0.0,0.0,51.0,0.333333333333333,2.0,0.111111111111111,0.0,,0.0,0.0,0.0,,,,,,,0.0,1.66666666666667,9.33333333333333,0.0,0.0,2.77777777777779
Tarik Cohen,Chi,RB,69,90,16.87,6.97,4.83,14.17,17.8,12.128,12.87,13.37,12.376,19.129375,0.0,0.0,0.0,-1.14285714285714,0.0,0.0,0.326530612244897,0.0,,0.0,0.0,0.0,,,,,,,0.0,5.71428571428571,73.5714285714286,0.571428571428571,3.57142857142857,32.6530612244897
T.Y. Hilton,Ind,WR,86,13,32.8,16.87,23.33,0.0,9.47,16.494,23.93,6.6,16.18675,18.8478571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163,0.0,,0.0,0.0,0.0,,,,,,,0.0,1.142857143,14.71428571,0.142857143,1.0,1.306122449
Keenan Allen,LAC,WR,40,23,29.2,21.53,49.5,9.2,8.2,6.2,12.07,12.53,18.55375,18.795625,0.0,0.0,0.0,18.0,1.0,2.0,0.6645371606725069,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Phillip Lindsay,Den,RB,85,140,12.83,15.6,29.37,8.77,27.6,16.33,6.33,15.03,16.4825,18.6246666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.510204081632653,0.0,,0.0,0.0,0.0,,,,,,,0.0,5.42857142857143,88.7142857142857,0.714285714285714,3.57142857142857,29.4693877551021
David Johnson,Ari,RB,9,19,29.87,8.4,26.57,24.6,24.43,31.93,0.2,0.0,18.25,18.545625,0.0,0.0,0.0,81.2857142857143,0.285714285714286,5.14285714285714,0.326530612244899,0.0,,0.0,0.0,0.0,,,,,,,0.0,3.14285714285714,21.2857142857143,0.285714285714286,0.857142857142857,9.87755102040815
Tyler Boyd,Cin,WR,75,102,15.3,24.13,14.53,7.2,31.1,3.67,8.67,13.63,14.77875,18.2021428571429,0.0,0.0,0.0,27.0,0.0,0.666666666666667,0.111111111111111,0.0,,0.0,0.0,0.0,,,,,,,0.0,3.0,11.3333333333333,0.333333333333333,0.666666666666667,9.0
Emmanuel Sanders,SF,WR,99,54,21.73,32.53,3.67,15.93,2.6,1.0,12.0,16.67,13.26625,17.8575,0.0,0.0,0.0,47.3333333333333,0.0,1.66666666666667,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,2.0,4.33333333333333,0.0,0.0,4.0
George Kittle,SF,TE,62,97,15.6,8.6,12.8,12.33,25.47,18.87,8.53,16.73,14.8666666666667,17.7375,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444444445,0.0,,0.0,0.0,0.0,,,,,,,0.0,6.0,85.6666666666667,0.666666666666667,5.0,36.0
Marlon Mack,Ind,RB,81,9,34.4,12.9,20.33,5.9,24.27,19.56,8.2,19.53,18.13625,17.6391666666667,0.0,0.0,0.0,67.1428571428571,1.0,4.0,1.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,1.71428571428571,13.7142857142857,0.0,0.857142857142857,2.93877551020407
Chris Carson,Sea,RB,57,28,27.87,13.8,5.07,27.13,30.13,29.73,15.1,19.0,20.97875,17.5692857142857,0.0,0.0,0.0,0.142857142857143,0.0,0.0,0.326530612244897,0.0,,0.0,0.0,0.0,,,,,,,0.0,5.71428571428571,80.0,0.571428571428571,4.28571428571429,32.6530612244897
Leonard Fournette,Jax,RB,39,99,15.47,16.37,17.33,35.83,28.73,21.27,25.03,22.6,22.82875,17.40375,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444444445,0.0,,0.0,0.0,0.0,,,,,,,0.0,4.16666666666667,64.1666666666667,0.666666666666667,3.66666666666667,17.3611111111111
Will Fuller V,Hou,WR,117,188,8.6,8.67,12.4,5.53,59.47,9.93,1.4,0.0,13.25,17.2185714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,1.5,10.0,0.0,0.0,2.3
Kerryon Johnson,Det,RB,46,163,10.77,22.23,13.07,22.63,17.175,14.2,2.3,0.0,12.796875,17.13,0.0,0.0,0.0,42.0,0.0,2.28571428571429,0.183673469387755,0.0,,0.0,0.0,0.0,,,,,,,0.0,3.85714285714286,29.8571428571429,0.428571428571429,1.14285714285714,14.8775510204082
