Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_project,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_2pt,l_fumble,l_pointspg,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg
Rashaad Penny,Sea,RB,4,26.47,0.33,267,312,0,0,0,98,1,2,3,34,0,1,0,0,6.6175,0,0,0,8.28571428571429,0,0.428571428571429,0.571428571428571,5.85714285714286,0,0.285714285714286
T.J. Yeldon,Buf,RB,5,26.17,0.01,345,313,0,0,0,45,0,2,10,100,0,5,0,1,5.234,0,0,0,0,0,0,2,18.5,0.5,1.5
Allen Lazard,GB,WR,7,26.13,0.19,304,314,0,0,0,0,0,0,7,107,1,4,0,0,3.73285714285714,0,0,0,3.5,0,0,1,11.8333333333333,0,0.166666666666667
Justin Jackson,LAC,RB,3,26.07,0.05,366,315,0,0,0,142,0,5,6,13,0,0,0,0,8.69,0,0,0,14,0,1.4,0.4,3.4,0,0
Darren Sproles,Phi,RB,5,25.70,0.01,326,318,0,0,0,59,0,2,5,21,0,1,1,0,5.14,0,0,0,1.5,0,0,1.5,19,0,1
Seth Roberts,Bal,WR,7,25.67,0,370,319,0,0,0,0,0,0,10,115,0,8,0,0,3.66714285714286,0,0,0,0.428571428571429,0,0,0.857142857142857,13.4285714285714,0,0.428571428571429
Ryan Izzo,NE,TE,6,25.60,0,344,320,0,0,0,0,0,0,6,114,1,4,0,0,4.26666666666667,0,0,0,0,0,0,1.16666666666667,10.1666666666667,0,0.666666666666667
James Washington,Pit,WR,5,25.33,0.06,264,321,0,0,0,0,0,0,9,140,0,7,0,0,5.066,0,0,0,0,0,0,0.5,4.16666666666667,0.166666666666667,0.333333333333333
Mack Hollins,Phi,WR,7,25.33,0,394,322,0,0,0,0,0,0,10,125,0,7,0,0,3.61857142857143,0,0,0,14.1666666666667,0.166666666666667,0.333333333333333,0,0,0,0
Kendrick Bourne,SF,WR,6,25.27,0,292,323,0,0,0,0,0,0,9,139,0,7,0,0,4.21166666666667,0,0,0,0,0,0,1,9.57142857142857,0,0.428571428571429
Kalen Ballage,Mia,RB,6,25.23,0.08,355,324,0,0,0,43,2,6,3,29,0,2,0,0,4.205,0,0,0,0,0,0,0.75,13.75,0,0.75
Troymaine Pope,LAC,RB,6,25.23,0,420,325,0,0,0,20,0,0,2,14,1,1,0,0,4.205,0,0,0,0,0,0,0,0,0,0
