l_name,l_pos,l_team,l_wk1,l_wk2,l_wk3,l_wk4,l_wk5,l_wk6,l_wk7,l_wk8,l_wk9,l_wk10,l_wk11,l_wk12,l_wk13,l_wk14,l_wk15,l_wk16,l_wk17
Sammy Watkins,WR,KC,@Jax,@Oak,Bal,@Det,Ind,Hou,@Den,GB,Min,@Ten,@LAC,Bye,Oak,@NE,Den,@Chi,LAC
Mike Evans,WR,TB,SF,@Car,NYG,@LAR,@NO,Car,Bye,@Ten,@Sea,Ari,NO,@Atl,@Jax,Ind,@Det,Hou,Atl
Eric Ebron,TE,Ind,@LAC,@Ten,Atl,Oak,@KC,Bye,Hou,Den,@Pit,Mia,Jax,@Hou,Ten,@TB,@NO,Car,@Jax
Odell Beckham Jr.,WR,Cle,Ten,@NYJ,LAR,@Bal,@SF,Sea,Bye,@NE,@Den,Buf,Pit,Mia,@Pit,Cin,@Ari,Bal,@Cin
Brandin Cooks,WR,LAR,@Car,NO,@Cle,TB,@Sea,SF,@Atl,Cin,Bye,@Pit,Chi,Bal,@Ari,Sea,@Dal,@SF,Ari
Rex Burkhead,RB,NE,Pit,@Mia,NYJ,@Buf,@Was,NYG,@NYJ,Cle,@Bal,Bye,@Phi,Dal,@Hou,KC,@Cin,Buf,Mia
Derek Carr,QB,Oak,Den,KC,@Min,@Ind,Chi,Bye,@GB,@Hou,Det,LAC,Cin,@NYJ,@KC,Ten,Jax,@LAC,@Den
Robert Woods,WR,LAR,@Car,NO,@Cle,TB,@Sea,SF,@Atl,Cin,Bye,@Pit,Chi,Bal,@Ari,Sea,@Dal,@SF,Ari
Darren Fells,TE,Hou,@NO,Jax,@LAC,Car,Atl,@KC,@Ind,Oak,@Jax,Bye,@Bal,Ind,NE,Den,@Ten,@TB,Ten
DeAndre Hopkins,WR,Hou,@NO,Jax,@LAC,Car,Atl,@KC,@Ind,Oak,@Jax,Bye,@Bal,Ind,NE,Den,@Ten,@TB,Ten
Zach Ertz,TE,Phi,Was,@Atl,Det,@GB,NYJ,@Min,@Dal,@Buf,Chi,Bye,NE,Sea,@Mia,NYG,@Was,Dal,@NYG
Le'Veon Bell,RB,NYJ,Buf,Cle,@NE,Bye,@Phi,Dal,NE,@Jax,@Mia,NYG,@Was,Oak,@Cin,Mia,@Bal,Pit,@Buf
Latavius Murray,RB,NO,Hou,@LAR,@Sea,Dal,TB,@Jax,@Chi,Ari,Bye,Atl,@TB,Car,@Atl,SF,Ind,@Ten,@Car
Kenny Stills,WR,Hou,@NO,Jax,@LAC,Car,Atl,@KC,@Ind,Oak,@Jax,Bye,@Bal,Ind,NE,Den,@Ten,@TB,Ten
Marquise Goodwin,WR,SF,@TB,@Cin,Pit,Bye,Cle,@LAR,@Was,Car,@Ari,Sea,Ari,GB,@Bal,@NO,Atl,LAR,@Sea
Keenan Allen,WR,LAC,Ind,@Det,Hou,@Mia,Den,Pit,@Ten,@Chi,GB,@Oak,KC,Bye,@Den,@Jax,Min,Oak,@KC
Travis Kelce,TE,KC,@Jax,@Oak,Bal,@Det,Ind,Hou,@Den,GB,Min,@Ten,@LAC,Bye,Oak,@NE,Den,@Chi,LAC
Willie Snead IV,WR,Bal,@Mia,Ari,@KC,Cle,@Pit,Cin,@Sea,Bye,NE,@Cin,Hou,@LAR,SF,@Buf,NYJ,@Cle,Pit
